,date,name
0,23 April 2022,A Tail of Love (2022)
1,29 April 2022,Hatching (2022)
2,29 April 2022,Memory (2022)
3,29 April 2022,Firebird (2021)
4,29 April 2022,Vortex (2021)
5,29 April 2022,Fortress: Sniper's Eye (2022)
6,03 May 2022,Black Site (2022)
7,06 May 2022,Doctor Strange in the Multiverse of Madness (2022)
8,06 May 2022,Happening (2021)
9,06 May 2022,The Twin (2022)
10,06 May 2022,Summer of '85: Mackey Returns (2022)
11,06 May 2022,Around the World in 80 Days (2021)
12,06 May 2022,The Ravine (2021)
13,12 May 2022,The Sadness (2021)
14,13 May 2022,Firestarter (2022)
15,13 May 2022,The Innocents (2021)
16,13 May 2022,The Last Victim (2021)
17,17 May 2022,Vendetta (2022)
18,20 May 2022,Downton Abbey: A New Era (2022)
19,20 May 2022,Men (2022)
20,20 May 2022,Good Mourning (2022)
21,26 May 2022,Look at Me: XXXTentacion (2022)
22,27 May 2022,Top Gun: Maverick (2022)
23,27 May 2022,The Bob's Burgers Movie (2022)
24,28 May 2022,Pulled from Darkness (2022)
25,03 June 2022,Watcher (2022)
26,03 June 2022,Wolf Hound (2022)
27,09 June 2022,Terror on the Prairie (2022)
28,10 June 2022,Jurassic World Dominion (2022)
29,17 June 2022,Lightyear (2022)
30,17 June 2022,Official Competition (2021)
31,17 June 2022,The Lost Girls (2022)
32,17 June 2022,Brian and Charles (2022)
33,24 June 2022,Marcel the Shell with Shoes On (2021)
34,24 June 2022,Elvis (2022)
35,24 June 2022,The Black Phone (2021)
36,01 July 2022,Minions: The Rise of Gru (2022)
37,08 July 2022,Thor: Love and Thunder (2022)
38,15 July 2022,Where the Crawdads Sing (2022)
39,15 July 2022,Paws of Fury: The Legend of Hank (2022)
40,15 July 2022,The Wrong Place (2022)
41,15 July 2022,Mrs Harris Goes to Paris (2022)
42,22 July 2022,Nope (2022)
43,29 July 2022,Bullet Train (2022)
44,29 July 2022,DC League of Super-Pets (2022)
45,29 July 2022,Vengeance (2022)
46,03 August 2022,Guns 3: Alias Billy the Kid (2022)
47,05 August 2022,Bodies Bodies Bodies (2022)
48,05 August 2022,Secret Headquarters (2022)
49,05 August 2022,Resurrection (2022)
50,05 August 2022,I Love My Dad (2022)
51,19 August 2022,Beast (2022)
52,26 August 2022,Samaritan (2022)
53,02 September 2022,Honk for Jesus. Save Your Soul. (2022)
54,07 September 2022,After Ever Happy (2022)
55,09 September 2022,Salem's Lot (2022)
56,09 September 2022,Dark Harvest (2022)
57,16 September 2022,The Woman King (2022)
58,16 September 2022,"Are You There God? It's Me, Margaret (2022)"
59,23 September 2022,Don't Worry Darling (2022)
60,23 September 2022,Puss in Boots: The Last Wish (2022)
61,30 September 2022,Bros (2022)
62,07 October 2022,Till (2022)
63,07 October 2022,"Lyle, Lyle, Crocodile (2022)"
64,07 October 2022,TÁR (2022)
65,14 October 2022,Halloween Ends (2022)
66,21 October 2022,Black Adam (2022)
67,21 October 2022,Ticket to Paradise (2022)
68,28 October 2022,The Devil's Light (2022)
69,02 November 2022,The Monkey King: The Legend Begins (2022)
70,04 November 2022,Untitled David O. Russell (2022)
71,04 November 2022,Eye See You (2002)
72,11 November 2022,Black Panther: Wakanda Forever (2022)
73,11 November 2022,Spellbound (2022)
74,18 November 2022,Thirteen Lives (2022)
75,18 November 2022,She Said (2022)
76,18 November 2022,The Menu (2022)
77,23 November 2022,The Fabelmans (2022)
78,23 November 2022,Creed III (2022)
79,23 November 2022,Strange World (2022)
80,15 December 2022,Bitch Ass (2022)
81,16 December 2022,Avatar 2 (2022)
82,16 December 2022,Shazam! Fury of the Gods (2022)
83,21 December 2022,Untitled Illumination Entertainment Super Mario Project (2022)
84,25 December 2022,A Man Called Otto (2022)
85,06 January 2023,Babylon (2022)
86,06 January 2023,The Amazing Maurice (2023)
87,13 January 2023,Kraven the Hunter (2023)
88,27 January 2023,Harold and the Purple Crayon (2023)
89,03 February 2023,Knock at the Cabin (2023)
90,10 February 2023,It’s All Coming Back to Me (2023)
91,17 February 2023,The Marvels (2023)
92,03 March 2023,Dungeons & Dragons (2023)
93,10 March 2023,Haunted Mansion (2023)
94,17 March 2023,Aquaman and the Lost Kingdom (2023)
95,17 March 2023,Fast Charlie (2023)
96,24 March 2023,John Wick: Chapter 4 (2023)
97,31 March 2023,Scream 6 (2023)
98,14 April 2023,Renfield (2023)
99,14 April 2023,65 (2023)
